lane,subdomain,context_id,target,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,ambiguity_lid,ambiguity_index,is_real_data,rmse_bestfit,chi2_bestfit,nfw_rmse,burkert_rmse,p_nfw,p_burkert,verdict_good
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO161_burkert,local_profile_class,1.3987153592677852,15.604248416102772,0.9999999999586942,84366.244180685,3.0,,3.88401298977909e-30,,0.935914888478272,0.06408511152172804,7.76802597955818e-30,0.0,1341.146063833182,1,1.3067634618034358,7.454670659297402,14.773949384573394,1.3067634618034358,3.9234326674549116e-228,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,DDO161_burkert,fine_latent_geometry,1.3987153592677852,15.604248416102772,8.337473354755513,84366.244180685,3.0,,0.0030915230210743342,,0.46569209022898694,0.5343079097710131,,0.0,1341.146063833182,1,1.3067634618034358,7.454670659297402,14.773949384573394,1.3067634618034358,3.9234326674549116e-228,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO079-G014_burkert,enclosed_mass,0.9709505944546686,15.71592519430343,3.1225207259258303,140391.43307523133,3.0,,0.11558715161558247,,0.8013148645516808,0.19868513544831926,,0.0,1406.5540284755205,1,10.529712848032283,46.62145114828686,30.13269567743475,10.529712848032283,6.292054915711255e-94,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO079-G014_burkert,halo_family_label,0.9709505944546686,15.71592519430343,0.9999999999586942,140391.43307523133,3.0,,6.292054915711255e-94,,0.9363702748902645,0.06362972510973552,1.258410983142251e-93,0.0,1406.5540284755205,1,10.529712848032283,46.62145114828686,30.13269567743475,10.529712848032283,6.292054915711255e-94,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO079-G014_burkert,local_profile_class,0.9709505944546686,15.71592519430343,0.9999999999586942,140391.43307523133,3.0,,1.3147709374328822e-14,,0.9363702748902645,0.06362972510973552,2.6295418748657645e-14,0.0,1406.5540284755205,1,10.529712848032283,46.62145114828686,30.13269567743475,10.529712848032283,6.292054915711255e-94,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO079-G014_burkert,fine_latent_geometry,0.9709505944546686,15.71592519430343,7.436835948035512,140391.43307523133,3.0,,0.005771604105304228,,0.5267961729207549,0.4732038270792451,,0.0,1406.5540284755205,1,10.529712848032283,46.62145114828686,30.13269567743475,10.529712848032283,6.292054915711255e-94,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO116-G012_burkert,enclosed_mass,1.5546097612655667,14.19842857184365,4.554506492189371,41414.28345792785,3.0,,0.042594206915908206,,0.6792246079103968,0.32077539208960315,,0.0,689.393009720148,1,2.577834468954472,9.540925830617159,11.890081822578084,2.577834468954472,5.652380752650815e-49,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO116-G012_burkert,halo_family_label,1.5546097612655667,14.19842857184365,0.9999999999586942,41414.28345792785,3.0,,5.652380752650815e-49,,0.9295696706928712,0.07043032930712877,1.130476150530163e-48,0.0,689.393009720148,1,2.577834468954472,9.540925830617159,11.890081822578084,2.577834468954472,5.652380752650815e-49,0.9999999999989999,1
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO116-G012_burkert,local_profile_class,1.5546097612655667,14.19842857184365,0.003713511170048922,41414.28345792785,3.0,,0.4641405484595903,,0.9997384561853969,0.0002615438146030499,0.9282810969191806,0.0,689.393009720148,1,2.577834468954472,9.540925830617159,11.890081822578084,2.577834468954472,5.652380752650815e-49,0.9999999999989999,0
dark_matter_hidden_mass,galaxy_burkert_bestfit,ESO116-G012_burkert,fine_latent_geometry,1.5546097612655667,14.19842857184365,6.98451574506874,41414.28345792785,3.0,,0.007897048289452209,,0.5080782560036636,0.4919217439963364,,0.0,689.393009720148,1,2.577834468954472,9.540925830617159,11.890081822578084,2.577834468954472,5.652380752650815e-49,0.9999999999989999,0
