battlefield,subdomain,context_id,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,closure_defect,cco,ambiguity_lid,ambiguity_index,retained_energy,observability_rank,bayes_error,is_real_data,flow_monotone,verdict_good,compatibility_lift_ref
hidden_inference,sparc_rotation_curve,F568-V1_halo_only,1.6879430945989,1.9152703968800378,0.9967916319816365,6684.05046080447,2.0,,8.0561245578011,,0.47955566294691176,0.5204443370530882,0.0,,,0.0,0.002965363596778946,,,0.0,1,,0,0.045651942676377344
hidden_inference,sparc_rotation_curve,F568-V1_halo_plus_bary,1.6879430945989,1.9152703968800378,0.9967916319816365,3982.176865039654,3.0,,7.6883468212946084,,0.47955566294691176,0.5204443370530882,0.0,,,0.0,0.06816263586866325,,,0.0,1,,0,0.045651942676377344
hidden_inference,sparc_rotation_curve,F583-1_halo_only,1.516623811079363,1.0055048075406547,0.9988455359952016,9217.705472470208,2.0,,6.535820188679298,,0.006622814227751794,0.9933771857722482,0.0,,,0.0,0.002323504354082342,,,0.0,1,,0,-0.03701878592529762
hidden_inference,sparc_rotation_curve,F583-1_halo_plus_bary,1.516623811079363,1.0055048075406547,0.9988455359952016,6565.860490856827,3.0,,6.777768317090255,,0.006622814227751794,0.9933771857722482,0.0,,,0.0,0.04135952120919002,,,0.0,1,,0,-0.03701878592529762
hidden_inference,sparc_rotation_curve,IC2574_halo_only,1.9357417972482365,0.948148544394127,1.0,89808.3384915908,2.0,,7.096765396742712,,0.0,1.0,0.0,,,0.0,0.00034263811045570343,,,0.0,1,,0,0.15348062578260016
hidden_inference,sparc_rotation_curve,IC2574_halo_plus_bary,1.9357417972482365,0.948148544394127,1.0,68712.07564516665,3.0,,6.007549402618338,,0.0,1.0,0.0,,,0.0,0.002881684322532896,,,0.0,1,,1,0.15348062578260016
hidden_inference,sparc_rotation_curve,IC4202_halo_only,2.1697367178034823,1.3485958170526893,0.509077939232916,266466.3317226227,2.0,,18.25431179194769,,0.6225125921378811,0.3774874078621189,0.23839285714285718,,,0.0,5.9675218823751606e-05,,,0.1875,1,,0,-0.3524349396009727
hidden_inference,sparc_rotation_curve,IC4202_halo_plus_bary,2.1697367178034823,1.3784276433771647,0.4764097655573917,11236.092280832476,3.0,,24.687769065800097,,0.6543817386089401,0.34561826139105994,0.23325892857142858,,,0.0,0.0028785859935812584,,,0.15625,1,,0,-0.3524349396009727
hidden_inference,sparc_rotation_curve,KK98-251_halo_only,1.565596230357602,1.1606606356144706,0.9967916319816366,6383.789210732619,2.0,,3.9798885779262987,,0.14118597512879327,0.8588140248712067,0.0,,,0.0,0.006690613320797248,,,0.0,1,,1,0.2522193922152507
hidden_inference,sparc_rotation_curve,KK98-251_halo_plus_bary,1.565596230357602,1.584962500721156,0.9967916319816366,1723.6552399172854,3.0,,2.9760834997173093,,0.37109450127173516,0.6289054987282648,0.0,,,0.0,0.09286217247841752,,,0.0,1,,1,0.2522193922152507
hidden_inference,sparc_rotation_curve,NGC0024_halo_only,2.114269567013887,0.9416365190063823,0.9991421039919088,44593.76652522576,2.0,,8.358705903370591,,0.0,1.0,0.0,,,0.0,0.0003184821543946724,,,0.0,1,,0,0.4382506849321553
hidden_inference,sparc_rotation_curve,NGC0024_halo_plus_bary,2.114269567013887,1.144293310164516,0.9991421039919088,15634.900028569598,3.0,,4.69549731607198,,0.12684790244184752,0.8731520975581525,0.0,,,0.0,0.006269996789612987,,,0.0,1,,1,0.4382506849321553
hidden_inference,sparc_rotation_curve,NGC0055_halo_only,1.494193430493157,1.174811164907481,0.9983636725938131,49293.62258331268,2.0,,4.532357512648344,,0.1501922160635608,0.8498077839364392,0.0,,,0.0,0.0005846654611173371,,,0.0,1,,1,0.3332699626108433
hidden_inference,sparc_rotation_curve,NGC0055_halo_plus_bary,1.494193430493157,1.3245848328944645,0.9983636725938132,28010.29784222585,3.0,,3.021858893869056,,0.24628181766795365,0.7537181823320463,0.0,,,0.0,0.0045508242341906185,,,0.0,1,,1,0.3332699626108433
