family_id,mode,descriptor_signature,n,k_contexts,m_per_context,total_budget,stack_rank,local_exact_all,shared_exact,shared_aug_threshold,shared_aug_found,context_invariance_gap,cid,stack_alignment,stack_residual,notes
ctxfam_243,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,4.2076517863,1.0,0.0,local_exact_global_fail
ctxfam_245,local_only,n7|k2|m2|r3|b4,7,2,2,4,3,1,0,1,1,1,3.794240572,1.0,0.0,local_exact_global_fail
ctxfam_247,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,1,1,1,3.9482652711,1.0,0.0,local_exact_global_fail
ctxfam_248,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,2,1,1,3.8173862801,1.0,0.0,local_exact_global_fail
ctxfam_249,local_only,n7|k5|m2|r6|b10,7,5,2,10,6,1,0,2,1,1,5.9512409759,1.0,0.0,local_exact_global_fail
ctxfam_262,local_only,n5|k3|m2|r4|b6,5,3,2,6,4,1,0,1,1,1,5.7055409274,1.0,0.0,local_exact_global_fail
ctxfam_263,local_only,n6|k2|m2|r3|b4,6,2,2,4,3,1,0,2,1,1,3.5965723582,1.0,0.0,local_exact_global_fail
ctxfam_268,local_only,n7|k3|m2|r4|b6,7,3,2,6,4,1,0,1,1,1,4.3351559587,1.0,0.0,local_exact_global_fail
ctxfam_269,local_only,n4|k3|m2|r4|b6,4,3,2,6,4,1,0,1,1,1,3.9347318821,1.0,0.0,local_exact_global_fail
ctxfam_272,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,2.549422973,1.0,0.0,local_exact_global_fail
ctxfam_276,local_only,n6|k4|m2|r5|b8,6,4,2,8,5,1,0,1,1,1,4.4558319829,1.0,0.0,local_exact_global_fail
ctxfam_284,local_only,n5|k2|m2|r3|b4,5,2,2,4,3,1,0,1,1,1,3.9589732744,1.0,0.0,local_exact_global_fail
ctxfam_288,local_only,n5|k5|m2|r5|b10,5,5,2,10,5,1,0,2,1,1,4.8468845695,1.0,0.0,local_exact_global_fail
ctxfam_291,local_only,n6|k3|m2|r4|b6,6,3,2,6,4,1,0,1,1,1,3.4163726991,1.0,0.0,local_exact_global_fail
