family_id,mode,n,k_contexts,m_per_context,total_budget,stack_rank,descriptor_signature,local_exact_all,shared_exact,context_invariance_gap,cid,mean_local_dls,joint_dls,stack_alignment,stack_residual,stack_logdet_info,rank_only_pred_shared,budget_only_pred_shared,enlarged_shared_exact,enlarged_local_exact_all,enlargement_flip,shared_aug_threshold,shared_aug_found,shared_aug_rows,shared_aug_residual,notes
ctxfam_1776,local_only,5,3,2,6,4,n5|k3|m2|r4|b6,1,0,1,3.4621766673,0.0,0.0,1.0,0.0,-22.8627123336,0,1,0,1,0,1,1,1,0.0,
ctxfam_1777,local_only,7,2,2,4,3,n7|k2|m2|r3|b4,1,0,1,4.3078228993,0.0,0.0,1.0,0.0,-6.1269495174,0,0,0,1,0,1,1,1,0.0,
ctxfam_1778,drift_prone,7,4,2,8,5,n7|k4|m2|r5|b8,0,0,0,0.1865843156,0.0,0.0,0.995633856,0.0231034626,-59.8338865908,0,1,0,0,0,,0,,,
ctxfam_1779,local_only,5,2,2,4,3,n5|k2|m2|r3|b4,1,0,1,2.5940487059,0.0,0.0,1.0,0.0,-9.5995385551,0,0,0,1,0,1,1,1,0.0,
ctxfam_1780,shared_exact,4,2,2,4,2,n4|k2|m2|r2|b4,0,0,0,2.0191391921,1.0,1.0,0.5240843284,2.0191391921,-31.5038232348,0,1,0,0,0,2,1,2,0.0,
ctxfam_1781,local_only,5,4,2,8,5,n5|k4|m2|r5|b8,1,0,1,4.4828129571,0.0,0.0,1.0,0.0,-41.1020911872,1,1,0,1,0,1,1,1,0.0,
ctxfam_1782,mixed_random,4,4,2,8,4,n4|k4|m2|r4|b8,0,0,0,4.3463346627,0.75,0.0,1.0,0.0,-65.0935811326,1,1,0,0,0,1,1,1,0.0,
ctxfam_1783,drift_prone,7,4,2,8,5,n7|k4|m2|r5|b8,0,0,0,0.1279272584,0.0,0.0,0.9952517529,0.0255700932,-60.6333848436,0,1,0,0,0,,0,,,
ctxfam_1784,shared_exact,7,5,2,10,2,n7|k5|m2|r2|b10,0,0,0,4.7961963002,1.0,1.0,0.1650893906,4.7961963002,-136.8818426793,0,1,0,0,0,,0,,,
ctxfam_1785,shared_exact,7,5,2,10,2,n7|k5|m2|r2|b10,1,1,0,0.0,0.0,0.0,1.0,0.0,-137.4937066768,0,1,0,0,1,0,1,0,0.0,
ctxfam_1786,local_only,6,4,2,8,5,n6|k4|m2|r5|b8,1,0,1,4.6391039794,0.0,0.0,1.0,0.0,-36.6508735464,0,1,0,1,0,1,1,1,0.0,
ctxfam_1787,local_only,4,4,2,8,4,n4|k4|m2|r4|b8,1,0,1,2.8713993456,0.0,0.0,1.0,0.0,-56.4798648583,1,1,0,1,0,2,1,2,0.0,
ctxfam_1788,mixed_random,5,4,2,8,5,n5|k4|m2|r5|b8,0,0,0,3.6493970942,0.8444444444,0.0,1.0,0.0,-44.8791885872,1,1,0,0,0,4,1,4,0.0,
