bridge_case_id,source_family_id,mechanism,pre_local_exact,pre_invariant_exact,post_local_exact,post_invariant_exact,pre_lifted_residual_norm,post_lifted_residual_norm,pre_free_aug_threshold,post_free_aug_threshold,pre_restricted_aug_threshold,post_restricted_aug_threshold,local_gain_shared_loss_flag,threshold_worsened_flag,threshold_improved_flag,notes
fdeep_148,ao_pair_74_good,optimization_induced,1,1,1,0,6.874782104478211e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_149,ao_pair_74_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_150,ao_pair_75_good,constraint_generation,1,1,1,1,4.1035669290410366e-13,1.0981851173194266e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_151,ao_pair_75_bad,context_drift,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_152,ao_pair_76_good,intervention_cleaning,1,1,1,1,1.0627194902511488e-13,1.665922111336151e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_153,ao_pair_76_bad,optimization_induced,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_154,ao_pair_77_good,context_conditioned_differentiation,1,1,0,0,2.70457256209957e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_155,ao_pair_77_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_156,ao_pair_78_good,context_drift,1,1,0,0,1.9809763903470545e-13,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_157,ao_pair_78_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_158,ao_pair_79_good,optimization_induced,1,1,1,0,1.3557373717131247e-12,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_159,ao_pair_79_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_160,ao_extra_0,constraint_generation,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_161,ao_extra_1,context_drift,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_162,ao_extra_2,intervention_cleaning,1,1,1,1,2.401779625492033e-15,1.8880000695992637e-15,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_163,ao_extra_3,optimization_induced,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_164,ao_extra_4,context_conditioned_differentiation,1,1,0,0,3.138596119287066e-15,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_165,ao_extra_5,constraint_generation,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_166,ao_extra_6,context_drift,1,1,0,0,2.9097409963058362e-15,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_167,ao_extra_7,intervention_cleaning,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_168,ao_extra_8,optimization_induced,1,1,1,0,3.194218211114644e-15,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_169,ao_extra_9,context_conditioned_differentiation,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_170,ao_extra_10,constraint_generation,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_171,ao_extra_11,context_drift,1,1,0,0,3.5440294475802254e-15,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_172,ao_extra_12,intervention_cleaning,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_173,ao_extra_13,optimization_induced,0,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_174,ao_extra_14,context_conditioned_differentiation,1,1,0,0,2.873741046359687e-15,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_175,ao_extra_15,constraint_generation,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_176,ao_extra_16,context_drift,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_177,ao_extra_17,intervention_cleaning,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_178,ao_extra_18,optimization_induced,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_179,ao_extra_19,context_conditioned_differentiation,0,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
