witness_id,family,n,m_total,rank,total_info,descriptor_signature,local_exact,global_exact,dls,cid,psi,il,tsf,alignment,residual,rank_only_pred,budget_only_pred,target_class,notes
single_48,single_context,5,4,4,7.08506551,n5|m4|r4|i7.09,0,0,0.0,0.0,,,0.32024359,0.56590069,1.73639724,0,1,linear_scalar,
single_49,single_context,4,4,4,6.802396,n4|m4|r4|i6.80,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_50,single_context,7,3,3,7.69757559,n7|m3|r3|i7.70,0,0,0.0,0.0,,,0.16073171,0.40091359,1.79725922,0,1,linear_scalar,
single_51,single_context,4,2,2,1.60943891,n4|m2|r2|i1.61,0,0,1.0,0.0,,,0.05080666,0.22540333,1.8973666,0,1,linear_scalar,
single_52,single_context,4,4,4,5.27811918,n4|m4|r4|i5.28,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_53,single_context,7,4,4,10.30795253,n7|m4|r4|i10.31,0,0,0.0,0.0,,,0.02068607,0.14382652,3.31594564,0,1,linear_scalar,
single_54,single_context,7,4,4,10.25916737,n7|m4|r4|i10.26,0,0,0.0,0.0,,,0.16694425,0.40858811,1.56472877,0,1,linear_scalar,
single_55,single_context,5,2,2,4.68213143,n5|m2|r2|i4.68,0,0,0.69230769,0.0,,,0.45105356,0.67160521,1.3540064,0,1,linear_scalar,
single_56,single_context,7,3,3,6.71901351,n7|m3|r3|i6.72,0,0,0.15789474,0.0,,,0.13530743,0.36784158,2.68202101,0,1,linear_scalar,
single_57,single_context,6,1,1,2.6390574,n6|m1|r1|i2.64,0,0,0.67164179,0.0,,,0.00346639,0.05887605,2.97609524,0,0,linear_scalar,
single_58,single_context,6,2,2,4.6821315,n6|m2|r2|i4.68,0,0,0.91666667,0.0,,,0.0221872,0.14895368,2.55313895,0,0,linear_scalar,
single_59,single_context,4,2,2,3.63758658,n4|m2|r2|i3.64,0,0,0.0,0.0,,,0.39108223,0.62536568,1.12390297,0,1,linear_scalar,
single_60,single_context,6,4,4,5.59842497,n6|m4|r4|i5.60,0,0,0.0,0.0,,,0.51740431,0.71930821,0.93094934,0,1,linear_scalar,
single_61,single_context,6,4,4,9.61306892,n6|m4|r4|i9.61,0,0,0.0,0.0,,,0.05272856,0.22962701,2.88247179,0,1,linear_scalar,
single_62,single_context,4,3,3,6.29894965,n4|m3|r3|i6.30,0,0,0.0,0.0,,,0.75752523,0.87035926,0.34299717,0,1,linear_scalar,
single_63,single_context,6,1,1,1.94591029,n6|m1|r1|i1.95,0,0,0.83854167,0.0,,,0.0239772,0.15484575,2.39045722,0,0,linear_scalar,
