formation_case_id,mechanism,n,k_contexts,pre_local_exact,pre_shared_exact,post_local_exact,post_shared_exact,pre_context_gap,post_context_gap,pre_alignment,post_alignment,pre_dls,post_dls,structure_created_flag,recoverability_change_shared,recoverability_change_local,pre_shared_aug_threshold,post_shared_aug_threshold,threshold_flip_flag,notes
fsec_718,feedback_induced_structure,7,2,0,0,0,0,0,0,0.2686422667,0.3021782773,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_719,local_to_global_organization,7,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_720,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.9139735213,0.0,0.0,0,0,0,3,2,1,EXPLORATION/NON-PROMOTED
fsec_721,constraint_generation,4,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,3,0,1,EXPLORATION/NON-PROMOTED
fsec_722,symmetry_breaking,6,2,0,0,1,0,0,1,0.0018814692,1.0,0.9513888889,0.0,1,0,1,,1,1,EXPLORATION/NON-PROMOTED
fsec_723,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_724,intervention_generated_structure,6,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_725,feedback_induced_structure,4,2,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_726,local_to_global_organization,6,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_727,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.6077677297,0.0,1.0,0,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_728,constraint_generation,6,2,0,0,1,1,0,0,0.7033421387,1.0,0.0,0.0,1,1,1,4,0,1,EXPLORATION/NON-PROMOTED
fsec_729,symmetry_breaking,4,2,0,0,1,0,0,1,0.0755837223,1.0,1.0,0.0,1,0,1,3,1,1,EXPLORATION/NON-PROMOTED
fsec_730,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_731,intervention_generated_structure,7,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_732,feedback_induced_structure,5,2,0,0,0,0,0,0,0.4654775162,0.5905501971,0.0,0.0,1,0,0,3,3,0,EXPLORATION/NON-PROMOTED
fsec_733,local_to_global_organization,4,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_734,optimization_induced_structure,6,2,0,0,0,0,0,0,0.5063237957,0.5247628591,0.0,1.0,1,0,0,,4,1,EXPLORATION/NON-PROMOTED
fsec_735,constraint_generation,7,2,0,0,1,1,0,0,0.0979537404,1.0,0.0,0.0,1,1,1,,0,1,EXPLORATION/NON-PROMOTED
fsec_736,symmetry_breaking,4,2,0,0,1,0,0,1,0.2118298907,1.0,0.875,0.0,1,0,1,3,1,1,EXPLORATION/NON-PROMOTED
fsec_737,context_conditioned_differentiation,4,2,1,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,1,1,0,EXPLORATION/NON-PROMOTED
fsec_738,intervention_generated_structure,5,2,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,EXPLORATION/NON-PROMOTED
fsec_739,feedback_induced_structure,7,2,0,0,0,0,0,0,0.1619469421,0.2490185796,0.0,0.0,1,0,0,,,0,EXPLORATION/NON-PROMOTED
fsec_740,local_to_global_organization,6,2,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0,0,-1,1,2,1,EXPLORATION/NON-PROMOTED
fsec_741,optimization_induced_structure,4,2,0,0,0,0,0,0,1.0,0.9075499673,0.0,0.0,0,0,0,3,2,1,EXPLORATION/NON-PROMOTED
fsec_742,constraint_generation,5,2,0,0,1,1,0,0,0.6348516283,1.0,1.0,0.0,1,1,1,3,0,1,EXPLORATION/NON-PROMOTED
