formation_id,route,n,pre_m,post_m,pre_rank,post_rank,pre_exact,post_exact,pre_dls,post_dls,pre_alignment,post_alignment,new_structure_flag,recoverability_change,notes
form_2656,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2657,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2658,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2659,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2660,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2661,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2662,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2663,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2664,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2665,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2666,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2667,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2668,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2669,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2670,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2671,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2672,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2673,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2674,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2675,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2676,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2677,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2678,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2679,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2680,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2681,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2682,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2683,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2684,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2685,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2686,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2687,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2688,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2689,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2690,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2691,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2692,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2693,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2694,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2695,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2696,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2697,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2698,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2699,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2700,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2701,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2702,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2703,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2704,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2705,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2706,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2707,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2708,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2709,context_conditioned_differentiation,5,2,2,2,2,1,1,0.0,0.0,1.0,1.0,0,0,
form_2710,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.59952858,0.58835865,1,0,
form_2711,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.35089434,0.34544705,1,0,
form_2712,feedback_induced_organization,5,2,2,2,2,0,0,0.6,0.0,0.22515414,0.0486356,1,0,
form_2713,feedback_induced_organization,5,2,2,2,2,0,0,0.66666667,0.0,0.56517172,0.37697419,1,0,
form_2714,feedback_induced_organization,5,2,2,2,2,0,0,0.0,1.0,0.30708249,0.48139118,1,0,
form_2715,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.03216279,0.06403605,1,0,
form_2716,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.12883493,0.10248426,1,0,
form_2717,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.40443233,0.29483487,1,0,
form_2718,feedback_induced_organization,5,2,2,2,2,0,0,0.0,0.0,0.5527864,0.3598156,0,0,
form_2719,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.0741799,0.44231033,1,0,
form_2720,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.13103392,0.11927227,1,0,
form_2721,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.13029719,0.03950278,1,0,
form_2722,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.36223356,0.46306542,1,0,
form_2723,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.21331002,0.18789802,1,0,
form_2724,feedback_induced_organization,5,2,2,2,2,0,0,1.0,0.0,0.23281591,0.37438023,1,0,
